10100000;Narodowy Bank Polski;Centrala - Departament Operacyjno -  Rachunkowy;00-919;Warszawa;ul.Świętokrzyska 11/21;mazowieckie
10100055;Narodowy Bank Polski;Centrala - B2BCollect Warszawa;00-919;Warszawa;ul.Świętokrzyska 11/21;mazowieckie
10100068;Narodowy Bank Polski;Centrala - NBPCollect;00-919;Warszawa;ul.Świętokrzyska 11/21;mazowieckie
10101010;Narodowy Bank Polski;O/Okr. w Warszawie;00-950;Warszawa;pl.Powstańców Warszawy 4;mazowieckie
10101049;Narodowy Bank Polski;O/Okr. w Białymstoku;15-282;Białystok;ul.Piękna 1;podlaskie
10101078;Narodowy Bank Polski;O/Okr. w Bydgoszczy;85-950;Bydgoszcz;ul.Jagiellońska 8;kujawsko-pomorskie
10101140;Narodowy Bank Polski;O/Okr. w Gdańsku;80-958;Gdańsk;ul.Okopowa 1;pomorskie
10101212;Narodowy Bank Polski;O/Okr. w Katowicach;40-007;Katowice;ul.Bankowa 1;śląskie
10101238;Narodowy Bank Polski;O/Okr. w Kielcach;25-531;Kielce;ul.Warszawska 46;świętokrzyskie
10101270;Narodowy Bank Polski;O/Okr. w Krakowie;30-960;Kraków;ul.Basztowa 20;małopolskie
10101339;Narodowy Bank Polski;O/Okr. w Lublinie;20-026;Lublin;ul.Chopina 6;lubelskie
10101371;Narodowy Bank Polski;O/Okr. w Łodzi;90-950;Łódź;al.Kościuszki 14;łódzkie
10101397;Narodowy Bank Polski;O/Okr. w Olsztynie;10-959;Olsztyn;al.Marszałka J.Piłsudskiego 11/17;warmińsko-mazurskie
10101401;Narodowy Bank Polski;O/Okr. w Opolu;45-064;Opole;ul.Damrota 2b;opolskie
10101469;Narodowy Bank Polski;O/Okr. w Poznaniu;60-967;Poznań;al.Marcinkowskiego 12;wielkopolskie
10101528;Narodowy Bank Polski;O/Okr. w Rzeszowie;35-959;Rzeszów;ul.3 Maja 12;podkarpackie
10101599;Narodowy Bank Polski;O/Okr. w Szczecinie;70-952;Szczecin;ul.Płk.T.A.Starzyńskiego 1;zachodniopomorskie
10101674;Narodowy Bank Polski;O/Okr. we Wrocławiu;50-950;Wrocław;ul.Ofiar Oświęcimskich 41/43;dolnośląskie
10101704;Narodowy Bank Polski;O/Okr. w Zielonej Górze;65-950;Zielona Góra;al.Wojska Polskiego 25;lubuskie
10200003;Powszechna Kasa Oszczędności Bank Polski SA;Departament Rozliczeń;02-515;Warszawa;ul.Puławska 15;mazowieckie
10200016;Powszechna Kasa Oszczędności Bank Polski SA;Departament Rozliczeń - Centrala;02-515;Warszawa;ul.Puławska 15;mazowieckie
10200029;Powszechna Kasa Oszczędności Bank Polski SA;Centrum Kart Kredytowych i Operacji Kartowych;01-919;Warszawa;ul.Wólczyńska 133;mazowieckie
10200032;Powszechna Kasa Oszczędności Bank Polski SA;Departament Produktów Korporacyjnych - Płatności Masowe 1;00-975;Warszawa;ul.Puławska 15;mazowieckie
10200045;Powszechna Kasa Oszczędności Bank Polski SA;Departament Produktów Korporacyjnych - Płatności Masowe 2;00-975;Warszawa;ul.Puławska 15;mazowieckie
10200058;Powszechna Kasa Oszczędności Bank Polski SA;Departament Produktów Korporacyjnych - Płatności Masowe 3;00-975;Warszawa;ul.Puławska 15;mazowieckie
10200061;Powszechna Kasa Oszczędności Bank Polski SA;Departament Produktów Korporacyjnych - Płatności Masowe 4;00-975;Warszawa;ul.Puławska 15;mazowieckie
10200074;Powszechna Kasa Oszczędności Bank Polski SA;Departament Produktów Zarządzania Środkami Finansowymi - Płatności Masowe 5;00-975;Warszawa;ul.Puławska 15;mazowieckie
10201013;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 1 w Warszawie;00-944;Warszawa;ul.Sienkiewicza 12/14;mazowieckie
10201026;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 2 w Warszawie;01-551;Warszawa;ul.Mickiewicza 25;mazowieckie
10201042;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 4 w Warszawie;03-733;Warszawa;ul.Targowa 42;mazowieckie
10201055;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 5 w Warszawie;02-019;Warszawa;ul.Grójecka 1/3;mazowieckie
10201068;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 6 w Warszawie;00-515;Warszawa;ul.Puławska 15;mazowieckie
10201097;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 9 w Warszawie;00-950;Warszawa;ul.Nowogrodzka 35/41;mazowieckie
10201127;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 12 w Warszawie;04-502;Warszawa;ul.Korkowa 24;mazowieckie
10201156;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 15 w Warszawie;00-950;Warszawa;Al.Jerozolimskie 7;mazowieckie
10201169;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 16 w Warszawie;02-739;Warszawa;ul.Wałbrzyska 11;mazowieckie
10201185;Powszechna Kasa Oszczędności Bank Polski SA;Oddział 18 w Warszawie;01-230;Warszawa;ul.Skierniewicka 21;mazowieckie
